Feature,Importance
T2M_toc,0.011205536771103825
QV2M_toc,0.006358475618086259
TQL_toc,0.012247069482829427
W2M_toc,0.005715962203365019
T2M_san,0.004363872206017476
QV2M_san,0.005927107343916826
TQL_san,0.004688559614246134
W2M_san,0.0040492359183917715
T2M_dav,0.007935979053769044
QV2M_dav,0.004414829159710669
TQL_dav,0.0044660108745899554
W2M_dav,0.004033557131761666
Holiday_ID,0.02483372986563402
holiday,0.022041900999220876
school,0.0003716834369155703
hour_of_day,0.7323541789495011
month_of_year,0.00483115465861752
day_of_week,0.06766805135421222
working_day,0.07249310535811063
